buyBoxPrice,monthlyRevenueEstimate,monthlyUnitsSold,amazonIsr
30.0,0.0,0,true
0.0,408.0,1,false
4.0,7.0,53955,true
0.0,0.0,934077,true
4.099999904632568,1.0,53714,true
628.0,0.0,0,true
1.0,0.0,143157,false
41.0,0.0,0,true
0.0,0.0,1474851,false
845.0,0.0,0,false
7899.0,0.0,0,true
1.0,0.0,1180478,true
1.0,0.0,0,false
640.0,0.0,0,true
0.0,0.0,1296252,true
0.0,0.0,830659,false
0.0,0.0,1515800,true
0.0,0.0,73721,true
413.0,0.0,0,true
488849.6875,21.0,15,true
0.0,0.0,1215689,true
475385.84375,21.0,4743,true
0.0,369.0,6,false
786373.1875,21.0,127,false
1.0,0.0,752342,true
1.0,0.0,0,true
0.0,21.0,135,false
213.0,0.0,0,false
0.0,624.0,1,false
0.0,0.0,2849,true
0.0,3112.0,7,true
11.0,0.0,0,false
3.0,0.0,0,true
400.0,0.0,0,false
0.0,0.0,70643,false
4.400000095367432,10.0,47881,false
0.0,0.0,514218,false
0.0,0.0,25863,true
0.0,358.0,1,true
1.0,0.0,783298,false
0.0,0.0,755019,false
122.0,0.0,0,true
0.0,0.0,48014,true
46528.58984375,0.0,0,false
0.0,391.0,2,false
0.0,0.0,369812,true
4.5,1.0,46080,false
0.0,0.0,57813,false
4.099999904632568,1.0,45748,true
0.0,0.0,895639,true
11.0,0.0,0,false
119.0,0.0,0,true
3.299999952316284,9.0,45361,false
0.0,0.0,21,true
63260.76171875,21.0,3180,true
0.0,0.0,21,false
44999.1015625,0.0,0,false
4.5,1.0,44800,true
0.0,387.0,1,true
0.0,5196.0,0,true
83.0,0.0,0,true
44523.0,0.0,0,false
143.0,0.0,0,true
0.0,0.0,986298,true
0.0,310.0,1,false
0.0,0.0,14267,false
230.0,0.0,0,true
3.700000047683716,1.0,42982,false
