reviewCount,reviewRating,totalRatings,numberOfSellers
37,0.0,0.0,2559
0,398.0,1.0,0
25759,163632.0625,0.0,21
0,25618.169921875,0.0,0
0,7.0,1.0,0
36,0.0,0.0,2004
378223,36.0,0.0,0
25499,297392.0625,0.0,21
0,5.0,1.0,0
1,0.0,9.300000190734863,0
21,0.0,0.0,2912
602177,192.0,0.0,0
75805,23.0,0.0,0
25271,516025.3125,810064674816.0,21
1,0.0,8.5,0
0,16.0,1.0,0
0,25199.16015625,0.0,0
533412,28.0,0.0,0
1244187,154.0,402404.0,0
7740708,217.0,414204.0,0
25000,131885.5,58465820672.0,21
10,0.0,0.0,1256
24978,76642.84375,761101090816.0,21
0,5.0,1.0,0
745697,12.0,0.0,0
237726,36.0,0.0,0
1,0.0,9.399999618530273,0
1,0.0,8.600000381469727,0
0,1.0,0.0,0
0,6.0,1.0,0
0,406.0,1.0,0
1,0.0,9.399999618530273,0
0,1.0,0.0,0
0,15.0,1.0,0
0,11.0,1.0,0
377734,29.0,0.0,0
0,24598.359375,0.0,0
0,24576.439453125,0.0,0
24570,23124.650390625,789591621632.0,21
0,16.0,1.0,0
333643,37.0,0.0,0
0,0.0,499.989990234375,0
0,24499.509765625,0.0,0
0,7.0,1.0,0
0,27.0,1.0,0
1,0.0,9.699999809265137,0
0,30.0,1.0,0
24375,933631.0625,850665996288.0,21
6,0.0,0.0,7840
0,0.0,0.0,0
14,0.0,0.0,5296
307256,18.0,0.0,0
0,887.0,12129.599609375,0
22,0.0,4670712.0,3470
7,0.0,0.0,7476
11,0.0,0.0,5875
280479,25.0,273603.0,0
0,2.0,0.0,0
0,5.0,1.0,0
0,23997.75,0.0,0
0,66.0,1.0,0
0,97.0,1.0,0
436994,9.0,0.0,0
22,0.0,0.0,1123
1,0.0,8.199999809265137,0
0,1579.0,1.0,0
0,23838.509765625,0.0,0
6666587,217.0,413623.0,0
24,0.0,0.0,2227
538806,34.0,0.0,0
47501,152.0,0.0,0
0,126.0,19877.19921875,0
28,0.0,0.0,2844
0,1.0,0.0,0
0,5.0,1.0,0
120883,39.0,0.0,0
0,121.0,1.0,0
0,6084.0,1.0,0
910303,308.0,404201.0,0
0,16.0,1.0,0
1,0.0,9.800000190734863,0
1,0.0,9.5,0
0,5.0,1.0,0
0,2348.0,1.0,0
0,35.0,1.0,0
17,0.0,0.0,123
0,22948.650390625,0.0,0
212294,31.0,0.0,0
460839,15.0,0.0,0
27,0.0,0.0,1013
0,103.0,1.0,0
22880,677633.6875,12505804800.0,21
0,446.0,1.0,0
0,6.0,1.0,0
0,18.0,1.0,0
0,1.0,0.0,0
299989,32.0,0.0,0
0,57.0,1.0,0
0,18.0,1.0,0
1,0.0,8.0,0
554180,18.0,0.0,0
1544,0.0,1691.219970703125,0
0,16.0,1.0,0
0,23.0,1.0,0
22455,219362.640625,58465804288.0,21
0,41.0,1.0,0
0,954.0,1.0,0
0,22392.0,0.0,0
22384,476545.78125,791116185600.0,21
751010,16.0,0.0,0
902970,21.0,1.0,0
0,1535.0,1.0,0
22210,550664.25,84691820544.0,21
36718,8.0,0.0,0
277003,148.0,0.0,0
341469,14.0,0.0,0
0,1.0,0.0,0
93491,38.0,0.0,0
0,22029.0,0.0,0
6528805,217.0,412404.0,0
1,0.0,9.100000381469727,0
0,699.0,1.0,0
0,38.0,1.0,0
0,5.0,1.0,0
255388,59.0,0.0,0
16,0.0,0.0,2014
0,12.0,1.0,0
29003,38.0,0.0,0
21673,295599.4375,810012704768.0,21
0,10.0,1.0,0
0,7.0,1.0,0
0,30.0,1.0,0
0,14.0,1.0,0
0,79.0,1.0,0
0,245.0,1.0,0
0,1.0,0.0,0
15,0.0,51332.0,4699
526397,46.0,0.0,0
31,0.0,0.0,4040
12,0.0,0.0,3257
0,47.0,1.0,0
12,0.0,0.0,3281
0,1.0,0.0,0
0,2070.0,1.0,0
0,13.0,1.0,0
1,0.0,9.5,0
2,0.0,9.0,0
6701464,217.0,412402.0,0
175,0.0,0.0,279
21084,0.0,819813023744.0,21
0,5.0,1.0,0
0,72.0,1.0,0
0,0.0,1574.9599609375,0
35,0.0,0.0,800
0,18.0,1.0,0
0,5.0,1.0,0
1,0.0,7.099999904632568,0
0,1.0,0.0,0
0,20879.130859375,0.0,0
0,20.0,1.0,0
19,0.0,31652.0,3325
20784,488787.71875,12505219072.0,21
1,0.0,5.800000190734863,0
8,0.0,0.0,6204
440,0.0,3112.25,0
426619,30.0,0.0,0
1092,49.0,0.0,0
0,14.0,1.0,0
0,6.0,1.0,0
1,0.0,8.800000190734863,0
1,0.0,8.399999618530273,0
20505,15617.0703125,789591621632.0,21
20499,12829.51953125,810110418944.0,21
26,0.0,0.0,122
20479,361348.875,664005443584.0,21
0,275.0,1.0,0
0,20410.19921875,0.0,0
0,20399.880859375,0.0,0
0,701.0,1.0,0
4,0.0,6.900000095367432,0
0,275.0,1.0,0
0,275.0,1.0,0
0,9.0,1.0,0
0,19.0,1.0,0
265248,206.0,0.0,0
11640,34.0,0.0,0
20310,0.0,850052972544.0,21
0,6.0,1.0,0
20225,342210.09375,58465800192.0,21
0,250.0,1.0,0
1912487,229.0,0.0,0
12,0.0,0.0,5618
2,0.0,9.0,0
25,0.0,0.0,2642
19992,224975.984375,783965028352.0,21
10,0.0,0.0,2947
592537,10.0,0.0,0
0,136.0,4.0,0
0,27.0,1.0,0
0,16.0,1.0,0
0,1.0,0.0,0
4,0.0,8.0,0
1,0.0,8.699999809265137,0
0,6.0,1.0,0
0,13.0,1.0,0
1,0.0,7.800000190734863,0
27063,22.0,0.0,0
950,0.0,0.0,0
0,49.0,0.0,0
21,0.0,124.0,0
0,5.0,1.0,0
391792,40.0,0.0,0
0,7.0,1.0,0
0,17.0,1.0,0
0,5.0,1.0,0
0,14.0,1.0,0
0,30.0,1.0,0
45,0.0,0.0,1178
19500,255245.375,602919796736.0,21
252166,12.0,0.0,0
19500,140957.875,0.0,21
0,19.0,1.0,0
46,0.0,0.0,1106
255079,10.0,4673025.0,0
0,5.0,1.0,0
0,45.0,1.0,0
19435,520467.375,0.0,21
0,5.0,1.0,0
0,19319.5390625,0.0,0
0,7.0,1.0,0
24,0.0,5.0,1529
390441,64.0,5472.0,0
1,0.0,8.399999618530273,0
0,19164.8203125,0.0,0
13,0.0,71215.0,2571
0,20.0,1.0,0
855,0.0,1433.2099609375,0
19044,132782.0,0.0,21
674689,34.0,0.0,0
0,19000.0,0.0,0
19,0.0,0.0,3527
266089,19.0,0.0,0
153116,92.0,0.0,0
22,0.0,0.0,3132
0,27.0,1.0,0
1,0.0,7.800000190734863,0
0,5.0,1.0,0
14,0.0,0.0,4788
0,18880.19921875,0.0,0
0,18880.19921875,0.0,0
0,20.0,1.0,0
0,18849.7109375,0.0,0
0,18849.7109375,0.0,0
0,18849.7109375,0.0,0
0,1.0,0.0,0
18833,771161.375,783761473536.0,21
0,1.0,0.0,0
470,0.0,1406.949951171875,0
291552,78.0,0.0,0
0,30.0,1.0,0
18700,20345.630859375,0.0,21
0,1.0,0.0,0
11,0.0,0.0,2046
0,35.0,1.0,0
27,0.0,0.0,1935
0,744.0,1.0,0
0,9.0,1.0,0
99903,32.0,0.0,0
306924,35.0,0.0,0
42,0.0,0.0,1469
0,64.0,1.0,0
923,0.0,0.0,0
0,7.0,1.0,0
