numberOfSellers,monthlyRevenueEstimate,monthlyUnitsSold,reviewRating
0,0.0,0,12.0
0,0.0,0,36.0
0,21.0,374,0.0
0,21.0,360,0.0
0,0.0,0,1.0
0,0.0,29866,6.0
0,0.0,213451,406.0
0,21.0,124,0.0
0,0.0,0,1.0
0,0.0,517491,15.0
0,0.0,845030,11.0
0,0.0,0,29.0
0,0.0,0,24598.359375
0,0.0,0,24576.439453125
21,233.0,1,23124.650390625
0,0.0,703891,16.0
0,0.0,0,37.0
0,0.0,0,0.0
0,0.0,0,24499.509765625
0,0.0,13618,7.0
0,0.0,508857,27.0
0,21.0,0,0.0
0,0.0,691586,30.0
21,4329.0,0,933631.0625
7840,8.0,24364,0.0
0,0.0,0,0.0
5296,9.0,24305,0.0
0,0.0,0,18.0
0,0.0,0,887.0
3470,1.0,24238,0.0
7476,1.0,24192,0.0
5875,1.0,24189,0.0
0,0.0,0,25.0
0,0.0,0,2.0
0,0.0,17633,5.0
0,0.0,0,23997.75
0,0.0,492494,66.0
0,0.0,587345,97.0
0,0.0,0,9.0
1123,4.0,23959,0.0
0,21.0,382,0.0
0,0.0,1818743,1579.0
0,0.0,0,23838.509765625
0,0.0,0,217.0
2227,2.0,23594,0.0
0,0.0,0,34.0
0,0.0,0,152.0
0,0.0,0,126.0
2844,1.0,23492,0.0
0,0.0,0,1.0
0,0.0,31516,5.0
0,0.0,0,39.0
0,0.0,427585,121.0
0,0.0,1803291,6084.0
0,0.0,0,308.0
0,0.0,686580,16.0
0,21.0,8,0.0
0,21.0,152,0.0
0,0.0,19617,5.0
0,0.0,427384,2348.0
0,0.0,328737,35.0
123,6.0,22950,0.0
0,0.0,0,22948.650390625
0,0.0,0,31.0
0,0.0,0,15.0
1013,2.0,22923,0.0
0,0.0,505682,103.0
21,5127.0,0,677633.6875
0,0.0,164777,446.0
0,0.0,26618,6.0
0,0.0,1028016,18.0
0,0.0,0,1.0
0,0.0,0,32.0
0,0.0,501307,57.0
0,0.0,998522,18.0
0,21.0,0,0.0
0,0.0,0,18.0
0,0.0,21,0.0
0,0.0,579259,16.0
0,0.0,270081,23.0
21,1162.0,1,219362.640625
0,0.0,354944,41.0
0,0.0,284701,954.0
0,0.0,0,22392.0
21,4125.0,4,476545.78125
0,0.0,0,16.0
0,0.0,0,21.0
0,0.0,397132,1535.0
21,3964.0,1,550664.25
0,0.0,0,8.0
0,0.0,0,148.0
0,0.0,0,14.0
0,0.0,0,1.0
0,0.0,0,38.0
0,0.0,0,22029.0
0,0.0,0,217.0
0,21.0,1150,0.0
0,0.0,342791,699.0
0,0.0,310230,38.0
0,0.0,15449,5.0
0,0.0,0,59.0
2014,1.0,21729,0.0
0,0.0,347518,12.0
0,0.0,0,38.0
21,0.0,9,295599.4375
0,0.0,567824,10.0
0,0.0,14395,7.0
0,0.0,699958,30.0
0,0.0,83474,14.0
0,0.0,198208,79.0
0,0.0,275117,245.0
0,0.0,0,1.0
4699,1.0,21450,0.0
0,0.0,0,46.0
4040,5.0,21390,0.0
3257,1.0,21372,0.0
0,0.0,88963,47.0
3281,2.0,21348,0.0
0,0.0,0,1.0
0,0.0,1540103,2070.0
0,0.0,255033,13.0
0,21.0,146,0.0
0,21.0,151,0.0
0,0.0,0,217.0
279,1.0,21102,0.0
21,172.0,1,0.0
0,0.0,41575,5.0
0,0.0,508236,72.0
0,0.0,21,0.0
800,1.0,20998,0.0
0,0.0,311385,18.0
0,0.0,3163,5.0
0,21.0,3708,0.0
0,0.0,0,1.0
0,0.0,0,20879.130859375
0,0.0,723518,20.0
3325,1.0,20790,0.0
21,4108.0,0,488787.71875
0,21.0,2411,0.0
6204,1.0,20760,0.0
0,0.0,21,0.0
0,0.0,0,30.0
0,0.0,0,49.0
0,0.0,236934,14.0
0,0.0,10586,6.0
0,21.0,844,0.0
0,21.0,294,0.0
21,239.0,1,15617.0703125
21,137.0,1,12829.51953125
122,2.0,20488,0.0
21,335.0,4,361348.875
0,0.0,347033,275.0
0,0.0,0,20410.19921875
0,0.0,0,20399.880859375
0,0.0,547767,701.0
0,21.0,215,0.0
0,0.0,75224,275.0
0,0.0,76253,275.0
0,0.0,40148,9.0
0,0.0,805908,19.0
0,0.0,0,206.0
0,0.0,0,34.0
21,108.0,1,0.0
0,0.0,24357,6.0
21,197.0,1,342210.09375
0,0.0,381531,250.0
0,0.0,0,229.0
5618,1.0,20152,0.0
0,21.0,146,0.0
2642,5.0,20000,0.0
21,3214.0,14,224975.984375
2947,3.0,19990,0.0
0,0.0,0,10.0
0,0.0,259805,136.0
0,0.0,386254,27.0
0,0.0,316540,16.0
0,0.0,0,1.0
0,21.0,5281,0.0
0,21.0,348,0.0
0,0.0,48997,6.0
0,0.0,516411,13.0
0,21.0,6070,0.0
0,0.0,0,22.0
0,1.0,19751,0.0
0,0.0,177077,49.0
0,0.0,0,0.0
0,0.0,32232,5.0
0,0.0,0,40.0
0,0.0,33295,7.0
0,0.0,534504,17.0
0,0.0,15884,5.0
0,0.0,898693,14.0
0,0.0,292761,30.0
1178,1.0,19569,0.0
21,1204.0,1,255245.375
0,0.0,0,12.0
21,1258.0,1,140957.875
0,0.0,396931,19.0
1106,1.0,19478,0.0
0,0.0,0,10.0
0,0.0,25745,5.0
0,0.0,247979,45.0
21,336.0,1,520467.375
0,0.0,55396,5.0
0,0.0,0,19319.5390625
0,0.0,32802,7.0
1529,1.0,19200,0.0
0,0.0,0,64.0
0,21.0,299,0.0
0,0.0,0,19164.8203125
2571,1.0,19111,0.0
0,0.0,265517,20.0
0,0.0,21,0.0
21,2518.0,2,132782.0
0,0.0,0,34.0
0,0.0,0,19000.0
3527,1.0,18983,0.0
0,0.0,0,19.0
0,0.0,0,92.0
3132,1.0,18920,0.0
0,0.0,17697,27.0
0,21.0,2084,0.0
0,0.0,41126,5.0
4788,1.0,18886,0.0
0,0.0,0,18880.19921875
0,0.0,0,18880.19921875
0,0.0,731214,20.0
0,0.0,0,18849.7109375
0,0.0,0,18849.7109375
0,0.0,0,18849.7109375
0,0.0,0,1.0
21,522.0,1,771161.375
0,0.0,0,1.0
0,0.0,21,0.0
0,0.0,0,78.0
0,0.0,0,30.0
21,2259.0,2,20345.630859375
0,0.0,0,1.0
2046,2.0,18689,0.0
0,0.0,376303,35.0
1935,0.0,18603,0.0
0,0.0,278998,744.0
0,0.0,20179,9.0
0,0.0,0,32.0
0,0.0,0,35.0
1469,1.0,18478,0.0
0,0.0,246934,64.0
0,1.0,18414,0.0
0,0.0,16602,7.0
434,1.0,18400,0.0
0,21.0,1650,0.0
21,1054.0,1,13219.6796875
21,1054.0,1,12011.7001953125
